x,y,prop_difference,probability,department
new_england,s_atlantic,-0.03,20.60%,comp_sci
new_england,w_n_central,-0.01,38.50%,comp_sci
new_england,w_s_central,0.05,87.50%,comp_sci
pacific,e_n_central,0.04,87.60%,comp_sci
pacific,e_s_central,0.02,69.50%,comp_sci
pacific,mid_atlantic,0.05,89.70%,comp_sci
pacific,mountain,0.06,94.90%,comp_sci
pacific,new_england,0.02,68.20%,comp_sci
pacific,pacific,0,na,comp_sci
pacific,s_atlantic,-0.02,33.90%,comp_sci
pacific,w_n_central,0.004,54.40%,comp_sci
pacific,w_s_central,0.06,94.90%,comp_sci
s_atlantic,e_n_central,0.06,92.90%,comp_sci
s_atlantic,e_s_central,0.04,79.20%,comp_sci
s_atlantic,mid_atlantic,0.06,93.90%,comp_sci
s_atlantic,mountain,0.08,97.20%,comp_sci
s_atlantic,new_england,0.03,79.40%,comp_sci
s_atlantic,pacific,0.02,66.10%,comp_sci
s_atlantic,s_atlantic,0,na,comp_sci
s_atlantic,w_n_central,0.02,67.40%,comp_sci
s_atlantic,w_s_central,0.08,97.10%,comp_sci
w_n_central,e_n_central,0.04,81.50%,comp_sci
w_n_central,e_s_central,0.02,65.00%,comp_sci
w_n_central,mid_atlantic,0.04,84.20%,comp_sci
w_n_central,mountain,0.06,90.30%,comp_sci
w_n_central,new_england,0.01,61.50%,comp_sci
w_n_central,pacific,-0.004,45.60%,comp_sci
w_n_central,s_atlantic,-0.02,32.60%,comp_sci
w_n_central,w_n_central,0,na,comp_sci
w_n_central,w_s_central,0.06,90.80%,comp_sci
w_s_central,e_n_central,-0.02,30.60%,comp_sci
w_s_central,e_s_central,-0.04,21.50%,comp_sci
w_s_central,mid_atlantic,-0.01,35.80%,comp_sci
w_s_central,mountain,-0.002,48.40%,comp_sci
w_s_central,new_england,-0.05,12.50%,comp_sci
w_s_central,pacific,-0.06,0.05%,comp_sci
w_s_central,s_atlantic,-0.08,0.03%,comp_sci
w_s_central,w_n_central,-0.06,0.09%,comp_sci
w_s_central,w_s_central,0,na,comp_sci
e_n_central,e_n_central,0,na,engineering
e_n_central,e_s_central,0.04,93.70%,engineering
e_n_central,mid_atlantic,-0.04,5.40%,engineering
e_n_central,mountain,0.1,>99.9%,engineering
e_n_central,new_england,-0.001,47.30%,engineering
e_n_central,pacific,-0.01,19.20%,engineering
e_n_central,s_atlantic,0.16,>99.9%,engineering
e_n_central,w_n_central,0.03,97.20%,engineering
e_n_central,w_s_central,0.05,99.80%,engineering
e_s_central,e_n_central,-0.04,6.30%,engineering
e_s_central,e_s_central,0,na,engineering
e_s_central,mid_atlantic,-0.07,0.80%,engineering
e_s_central,mountain,0.07,99.90%,engineering
e_s_central,new_england,-0.04,7.40%,engineering
e_s_central,pacific,-0.05,2.20%,engineering
e_s_central,s_atlantic,0.12,>99.9%,engineering
e_s_central,w_n_central,-0.003,44.80%,engineering
e_s_central,w_s_central,0.01,68.20%,engineering
mid_atlantic,e_n_central,0.04,94.60%,engineering
mid_atlantic,e_s_central,-0.12,<0.01%,engineering
mid_atlantic,mid_atlantic,0,na,engineering
mid_atlantic,mountain,0.14,>99.9%,engineering
mid_atlantic,new_england,0.03,91.50%,engineering
mid_atlantic,pacific,0.02,82.20%,engineering
mid_atlantic,s_atlantic,0.2,>99.9%,engineering
mid_atlantic,w_n_central,0.07,99.90%,engineering
mid_atlantic,w_s_central,0.08,>99.9%,engineering
mountain,e_n_central,-0.1,<0.01%,engineering
mountain,e_s_central,-0.07,<0.01%,engineering
mountain,mid_atlantic,-0.14,<0.01%,engineering
mountain,mountain,0,na,engineering
mountain,new_england,-0.1,<0.01%,engineering
mountain,pacific,-0.12,<0.01%,engineering
mountain,s_atlantic,0.06,>99.9%,engineering
mountain,w_n_central,-0.07,<0.01%,engineering
mountain,w_s_central,-0.05,<0.01%,engineering
new_england,e_n_central,0.001,52.70%,engineering
new_england,e_s_central,0.04,92.60%,engineering
new_england,mid_atlantic,-0.03,8.50%,engineering
new_england,mountain,0.1,>99.9%,engineering
new_england,new_england,0,na,engineering
new_england,pacific,-0.01,26.30%,engineering
new_england,s_atlantic,0.16,>99.9%,engineering
new_england,w_n_central,0.03,95.40%,engineering
new_england,w_s_central,0.05,99.30%,engineering
pacific,e_n_central,0.01,80.80%,engineering
pacific,e_s_central,0.05,97.80%,engineering
pacific,mid_atlantic,-0.02,17.80%,engineering
pacific,mountain,0.12,>99.9%,engineering
pacific,new_england,0.01,73.70%,engineering
pacific,pacific,0,na,engineering
pacific,s_atlantic,0.17,>99.9%,engineering
pacific,w_n_central,0.05,99.30%,engineering
pacific,w_s_central,0.06,>99.9%,engineering
s_atlantic,e_n_central,-0.16,<0.01%,engineering
s_atlantic,e_s_central,-0.12,<0.01%,engineering
s_atlantic,mid_atlantic,-0.2,<0.01%,engineering
s_atlantic,mountain,-0.06,<0.01%,engineering
s_atlantic,new_england,-0.16,<0.01%,engineering
s_atlantic,pacific,-0.17,<0.01%,engineering
s_atlantic,s_atlantic,0,na,engineering
s_atlantic,w_n_central,-0.13,<0.01%,engineering
s_atlantic,w_s_central,-0.11,<0.01%,engineering
w_n_central,e_n_central,-0.03,2.80%,engineering
w_n_central,e_s_central,0.003,55.20%,engineering
w_n_central,mid_atlantic,-0.07,0.20%,engineering
w_n_central,mountain,0.07,>99.9%,engineering
w_n_central,new_england,-0.03,4.60%,engineering
w_n_central,pacific,-0.05,0.70%,engineering
w_n_central,s_atlantic,0.13,>99.9%,engineering
w_n_central,w_n_central,0,na,engineering
w_n_central,w_s_central,0.02,79.90%,engineering
w_s_central,e_n_central,-0.05,0.20%,engineering
w_s_central,e_s_central,-0.01,31.80%,engineering
w_s_central,mid_atlantic,-0.08,0.02%,engineering
w_s_central,mountain,0.05,>99.9%,engineering
w_s_central,new_england,-0.05,0.70%,engineering
w_s_central,pacific,-0.06,<0.01%,engineering
w_s_central,s_atlantic,0.11,>99.9%,engineering
w_s_central,w_n_central,-0.02,20.10%,engineering
w_s_central,w_s_central,0,na,engineering
e_n_central,e_n_central,0,na,math
e_n_central,e_s_central,-0.04,18.20%,math
e_n_central,mid_atlantic,0.04,90.30%,math
e_n_central,mountain,0.03,86.50%,math
e_n_central,new_england,0.09,>99.9%,math
e_n_central,pacific,0.05,94.60%,math
e_n_central,s_atlantic,0.01,65.00%,math
e_n_central,w_n_central,0.02,73.20%,math
e_n_central,w_s_central,0.06,96.70%,math
e_s_central,e_n_central,0.04,81.80%,math
e_s_central,e_s_central,0,na,math
e_s_central,mid_atlantic,0.08,97.30%,math
e_s_central,mountain,0.07,96.10%,math
e_s_central,new_england,0.13,>99.9%,math
e_s_central,pacific,0.08,98.50%,math
e_s_central,s_atlantic,0.05,87.80%,math
e_s_central,w_n_central,0.06,91.20%,math
e_s_central,w_s_central,0.1,99.10%,math
mid_atlantic,e_n_central,-0.04,9.70%,math
mid_atlantic,e_s_central,-0.05,12.20%,math
mid_atlantic,mid_atlantic,0,na,math
mid_atlantic,mountain,-0.01,37.80%,math
mid_atlantic,new_england,0.05,93.90%,math
mid_atlantic,pacific,0.002,52.00%,math
mid_atlantic,s_atlantic,-0.03,20.30%,math
mid_atlantic,w_n_central,-0.02,24.90%,math
mid_atlantic,w_s_central,0.01,64.90%,math
mountain,e_n_central,-0.03,13.50%,math
mountain,e_s_central,-0.07,3.90%,math
mountain,mid_atlantic,0.01,62.20%,math
mountain,mountain,0,na,math
mountain,new_england,0.06,98.60%,math
mountain,pacific,0.01,67.00%,math
mountain,s_atlantic,-0.02,28.10%,math
mountain,w_n_central,-0.01,33.90%,math
mountain,w_s_central,0.03,78.10%,math
new_england,e_n_central,-0.09,<0.01%,math
new_england,e_s_central,-0.13,<0.01%,math
new_england,mid_atlantic,-0.05,6.10%,math
new_england,mountain,-0.06,1.50%,math
new_england,new_england,0,na,math
new_england,pacific,-0.05,3.70%,math
new_england,s_atlantic,-0.08,0.40%,math
new_england,w_n_central,-0.07,0.70%,math
new_england,w_s_central,-0.03,12.50%,math
pacific,e_n_central,-0.05,5.50%,math
pacific,e_s_central,-0.08,1.50%,math
pacific,mid_atlantic,-0.002,48.00%,math
pacific,mountain,-0.01,33.00%,math
pacific,new_england,0.05,96.30%,math
pacific,pacific,0,na,math
pacific,s_atlantic,-0.03,15.70%,math
pacific,w_n_central,-0.03,20.20%,math
pacific,w_s_central,0.01,65.90%,math
s_atlantic,e_n_central,-0.01,35.00%,math
s_atlantic,e_s_central,-0.05,12.20%,math
s_atlantic,mid_atlantic,0.03,79.70%,math
s_atlantic,mountain,0.02,71.90%,math
s_atlantic,new_england,0.08,99.60%,math
s_atlantic,pacific,0.03,84.30%,math
s_atlantic,s_atlantic,0,na,math
s_atlantic,w_n_central,0.01,57.30%,math
s_atlantic,w_s_central,0.05,89.90%,math
w_n_central,e_n_central,-0.02,26.80%,math
w_n_central,e_s_central,-0.06,8.80%,math
w_n_central,mid_atlantic,0.02,75.10%,math
w_n_central,mountain,0.01,66.10%,math
w_n_central,new_england,0.07,99.30%,math
w_n_central,pacific,0.03,79.80%,math
w_n_central,s_atlantic,-0.01,42.70%,math
w_n_central,w_n_central,0,na,math
w_n_central,w_s_central,0.04,87.00%,math
w_s_central,e_n_central,-0.06,3.30%,math
w_s_central,e_s_central,-0.1,0.90%,math
w_s_central,mid_atlantic,-0.01,35.10%,math
w_s_central,mountain,-0.03,22.00%,math
w_s_central,new_england,0.03,87.50%,math
w_s_central,pacific,-0.01,34.10%,math
w_s_central,s_atlantic,-0.05,10.10%,math
w_s_central,w_n_central,-0.04,13.00%,math
w_s_central,w_s_central,0,na,math
e_n_central,e_n_central,0,na,physics
e_n_central,e_s_central,0.04,85.10%,physics
e_n_central,mid_atlantic,0.03,81.60%,physics
e_n_central,mountain,0.04,86.10%,physics
e_n_central,new_england,0.01,64.30%,physics
e_n_central,pacific,0.03,78.80%,physics
e_n_central,s_atlantic,0.04,89.60%,physics
e_n_central,w_n_central,0.04,89.50%,physics
e_n_central,w_s_central,0.02,73.50%,physics
e_s_central,e_n_central,-0.04,14.90%,physics
e_s_central,e_s_central,0,na,physics
e_s_central,mid_atlantic,-0.01,38.30%,physics
e_s_central,mountain,-0.005,44.60%,physics
e_s_central,new_england,-0.03,24.20%,physics
e_s_central,pacific,-0.02,31.30%,physics
e_s_central,s_atlantic,-0.0001,49.00%,physics
e_s_central,w_n_central,-0.001,48.30%,physics
e_s_central,w_s_central,-0.02,30.10%,physics
mid_atlantic,e_n_central,-0.03,18.40%,physics
mid_atlantic,e_s_central,0.0001,51.00%,physics
mid_atlantic,mid_atlantic,0,na,physics
mid_atlantic,mountain,0.01,57.50%,physics
mid_atlantic,new_england,-0.02,31.10%,physics
mid_atlantic,pacific,-0.01,41.50%,physics
mid_atlantic,s_atlantic,0.01,62.40%,physics
mid_atlantic,w_n_central,0.01,61.30%,physics
mid_atlantic,w_s_central,-0.01,39.60%,physics
mountain,e_n_central,-0.04,14.00%,physics
mountain,e_s_central,0.005,55.40%,physics
mountain,mid_atlantic,-0.007,42.50%,physics
mountain,mountain,0,na,physics
mountain,new_england,-0.03,25.40%,physics
mountain,pacific,-0.01,34.10%,physics
mountain,s_atlantic,0.005,55.30%,physics
mountain,w_n_central,0.004,54.10%,physics
mountain,w_s_central,-0.02,32.10%,physics
new_england,e_n_central,-0.01,35.70%,physics
new_england,e_s_central,0.03,75.90%,physics
new_england,mid_atlantic,0.02,68.90%,physics
new_england,mountain,0.03,74.60%,physics
new_england,new_england,0,na,physics
new_england,pacific,0.01,63.90%,physics
new_england,s_atlantic,0.03,79.10%,physics
new_england,w_n_central,0.03,78.80%,physics
new_england,w_s_central,0.01,59.60%,physics
pacific,e_n_central,-0.03,21.20%,physics
pacific,e_s_central,0.02,68.70%,physics
pacific,mid_atlantic,0.006,58.50%,physics
pacific,mountain,0.01,65.90%,physics
pacific,new_england,-0.01,36.10%,physics
pacific,pacific,0,na,physics
pacific,s_atlantic,0.02,71.60%,physics
pacific,w_n_central,0.02,71.60%,physics
pacific,w_s_central,-0.004,45.80%,physics
s_atlantic,e_n_central,-0.04,10.40%,physics
s_atlantic,e_s_central,0.0001,51.00%,physics
s_atlantic,mid_atlantic,-0.01,37.60%,physics
s_atlantic,mountain,-0.005,44.70%,physics
s_atlantic,new_england,-0.03,20.90%,physics
s_atlantic,pacific,-0.02,28.40%,physics
s_atlantic,s_atlantic,0,na,physics
s_atlantic,w_n_central,-0.001,48.60%,physics
s_atlantic,w_s_central,-0.02,27.10%,physics
w_n_central,e_n_central,-0.04,10.50%,physics
w_n_central,e_s_central,0.001,51.70%,physics
w_n_central,mid_atlantic,-0.01,38.70%,physics
w_n_central,mountain,-0.004,45.90%,physics
w_n_central,new_england,-0.03,21.20%,physics
w_n_central,pacific,-0.02,28.40%,physics
w_n_central,s_atlantic,0.001,51.40%,physics
w_n_central,w_n_central,0,na,physics
